tic,earnings_surprise_ratio,absolute_surprise,price_reaction,rolling_volatility,interest_rate,date
AAOI,0.2427793603288502,0.06733000000000003,0.670713,0.13618896674276057,0.044,2025-04-13
AAON,-0.051546391752577254,0.024999999999999967,0.004039,0.39245925219713773,0.044,2025-04-13
AAPL,0.4188853641974683,0.41330999999999996,-0.035386,0.03356043625194467,0.044,2025-04-13
ABBV,0.07742788579264401,0.1739099999999998,0.042878,0.030523320778950383,0.044,2025-04-13
ABCB,0.8438573053184794,0.7642899999999999,0.052803,0.03611316439093246,0.044,2025-04-13
ABCL,-0.2786885245901639,0.16999999999999998,0.272864,0.06279270030534516,0.044,2025-04-13
ABM,1.0809489127041931,0.31167,0.199816,0.06460472790179132,0.044,2025-04-13
ABNB,-0.18364258361659586,1.6818299999999997,0.133418,0.04499898505497951,0.044,2025-04-13
ABT,0.4811680067710536,0.45479999999999987,0.033266,0.021328685162338715,0.044,2025-04-13
ACCO,0.21904761904761905,0.345,0.019685,0.09664545516928348,0.044,2025-04-13
ACHL,-2.172413793103449,0.31500000000000006,-0.247583,0.07694559573979218,0.044,2025-04-13
ACIC,-0.013716856210599678,0.0043300000000000005,0.280639,0.06051790485695637,0.044,2025-04-13
ACIU,-1.8487398058968967,0.50099,-0.052356,0.06877709877836297,0.044,2025-04-13
ACLS,0.15038211184720154,0.26014000000000004,0.0,0.3180309485935614,0.044,2025-04-13
ACLX,-15.177288467237439,37.38667,-0.090537,0.09972124959059332,0.044,2025-04-13
ACNB,0.5808383233532936,0.4850000000000001,-0.095395,0.05326107433336816,0.044,2025-04-13
ACRE,-50.08467459762071,0.71571,0.04577,0.09360371069732756,0.044,2025-04-13
ACRV,0.26940639269406386,0.29499999999999993,-0.079768,0.10395304557018022,0.044,2025-04-13
ACU,-0.9636363636363636,0.53,-0.091268,0.04057886848374212,0.044,2025-04-13
ACVA,0.7630799605133267,0.19324999999999998,-0.111789,0.046814117169404354,0.044,2025-04-13
ACXP,0.15,0.03,-0.016216,0.6255774283947166,0.044,2025-04-13
ADAG,-2.82716049382716,1.145,0.032202,0.0690273585342272,0.044,2025-04-13
ADAP,-2.714285714285714,0.38,0.146739,0.06024675579343289,0.044,2025-04-13
ADBE,0.02767881611400388,0.09696000000000016,0.01806,0.6517571181403912,0.044,2025-04-13
ADC,0.17798971524364005,0.07857000000000003,0.012224,0.08608764096265996,0.044,2025-04-13
ADI,0.13950374611856522,0.29381999999999975,0.038263,0.06143170201855624,0.044,2025-04-13
ADIL,1.64,2.46,-0.10411,0.058129403689969716,0.044,2025-04-13
ADM,0.35098621994055657,0.49361999999999995,0.036187,0.03425164548409295,0.044,2025-04-13
ADMA,-0.03519668737060033,0.0061199999999999866,0.406667,0.14707083538426804,0.044,2025-04-13
ADN,-1.5833333333333335,5.700000000000001,-0.151408,0.08293792973497228,0.044,2025-04-13
ADTN,-10.473684210526317,0.9950000000000001,0.041308,0.04989052885826397,0.044,2025-04-13
ADUS,0.09568480300187614,0.06374999999999997,0.354752,0.125025974886527,0.044,2025-04-13
AEHR,1.0,0.02,0.879412,0.16561571805576816,0.044,2025-04-13
AEIS,0.5363432132763245,0.7401000000000002,-0.004682,0.11018361875578281,0.044,2025-04-13
AEMD,0.7087378640776699,7.300000000000001,-0.200461,0.058252777448025594,0.044,2025-04-13
AEP,0.0400385460613682,0.06814000000000009,0.012444,0.3212456645754236,0.044,2025-04-13
AESI,-0.9554631828978621,0.6436,-0.058338,0.04535773635698492,0.044,2025-04-13
AEVA,-1.4,0.35,0.122243,0.035879434168197014,0.044,2025-04-13
AEYE,0.47540983606557374,0.145,0.576923,0.15302858290988303,0.044,2025-04-13
AFCG,0.310692336818804,0.10666999999999999,0.102506,0.04497432117860136,0.044,2025-04-13
AFIB,-30.300970873786408,31.21,-0.090261,0.04779294223464143,0.044,2025-04-13
AFL,0.2817926107029683,0.47486000000000006,-0.048142,0.03499502438911947,0.044,2025-04-13
AFMD,-2.7994770131640703,1.25257,0.234474,0.055928438015977314,0.044,2025-04-13
AFRM,-2.811901227904466,0.8335599999999999,-0.153749,0.045004816076332804,0.044,2025-04-13
AFYA,-0.43670886075949367,0.6900000000000001,0.06967,0.05656178812754421,0.044,2025-04-13
AGCO,0.7415593741695081,1.3114700000000001,0.089496,0.039598424476438805,0.044,2025-04-13
AGEN,0.5109494565508965,4.66667,-0.089202,0.040932441071467006,0.044,2025-04-13
AGFY,-1.2296231375985978,1403.0,-0.378156,0.09213290257985297,0.044,2025-04-13
AGIO,21.440824004126085,28.26844,0.034353,0.033688472021864674,0.044,2025-04-13
AGRO,-0.5942028985507246,0.4099999999999999,0.057674,0.05569503833553007,0.044,2025-04-13
AHCO,-11.782431974709269,2.0871399999999998,0.310616,0.05997760652439552,0.044,2025-04-13
AHH,-1.7088607594936709,0.16875,0.073582,0.07290942978177521,0.044,2025-04-13
AIG,-0.8463021699339099,0.6056900000000001,0.094809,0.053329966241026296,0.044,2025-04-13
AIR,1.9009009009009006,0.5486,-0.064483,0.03540855686600933,0.044,2025-04-13
AIRG,-0.31687242798353915,0.019250000000000003,-0.008606,0.7195108936742782,0.044,2025-04-13
AISP,-inf,0.02,0.134921,0.2960313063999726,0.044,2025-04-13
AIV,-16.833333333333336,1.01,0.001377,0.0780066636165453,0.044,2025-04-13
AKA,-103.85714285714285,16.357499999999998,-0.360827,0.07753722599937411,0.044,2025-04-13
AKAM,0.022010618939601538,0.035319999999999796,-0.012617,0.798791963105881,0.044,2025-04-13
AKBA,1.7319013524264122,0.54425,0.053697,0.07730200154063702,0.044,2025-04-13
AKRO,0.5267288156113453,0.47857,0.05218,0.039784037287847095,0.044,2025-04-13
AKYA,-0.6623376623376622,0.19124999999999998,-0.296116,0.06749767505196322,0.044,2025-04-13
ALC,0.16579232242484787,0.09954999999999992,0.088354,0.0942328749188471,0.044,2025-04-13
ALCO,-9.857142857142856,2.76,-0.067634,0.03329637746753658,0.044,2025-04-13
ALDX,0.3438411816443061,0.24629,-0.354582,0.10226838997140653,0.044,2025-04-13
ALEC,1.0243961941937059,0.8398,0.323774,0.0721458618152272,0.044,2025-04-13
ALEX,0.2533783783783784,0.75,0.043523,0.03010078168895835,0.044,2025-04-13
ALGN,2.52112676056338,1.611,0.349662,0.06590122114766983,0.044,2025-04-13
ALGS,-13.102564102564102,255.5,-0.135222,0.049256431481153586,0.044,2025-04-13
ALK,0.2764684602013535,0.31333,0.133932,0.03301803159257512,0.044,2025-04-13
ALKS,-0.5714842228282041,0.2934,0.163273,0.06155189548370208,0.044,2025-04-13
ALKT,1.1973684210526316,0.0182,0.102273,0.07167981669183938,0.044,2025-04-13
ALLK,-0.8470063106048945,1.6509,-0.114907,0.06910802437350778,0.044,2025-04-13
ALLY,-1.6312044528605039,1.13708,0.133481,0.04047171471285675,0.044,2025-04-13
ALMS,-2.5634400308522944,16.6175,0.015625,0.49309758033353046,0.044,2025-04-13
ALNY,1.8608686539008576,2.4858599999999997,0.028853,0.07028501747438445,0.044,2025-04-13
ALOT,-7.333333333333334,0.22,-0.187027,0.12240991970547174,0.044,2025-04-13
ALPP,-10.46153846153846,1.3599999999999999,-0.113513,0.08787703965046646,0.044,2025-04-13
ALRS,1.4444444444444442,0.585,0.034106,0.030129438842908647,0.044,2025-04-13
ALSN,0.33113104323039705,0.47512999999999983,0.139096,0.03235360140410779,0.044,2025-04-13
ALTG,-2.6210526315789475,0.6225,0.158218,0.052149066278498454,0.044,2025-04-13
ALTS,1.2210503047336343,0.38667,0.354271,0.0733931309413544,0.044,2025-04-13
ALV,-0.592874397227927,0.6553100000000001,-0.072847,0.03463055915496044,0.044,2025-04-13
ALX,0.6283783783783785,0.9300000000000002,0.004518,0.08456518446318897,0.044,2025-04-13
ALXO,-9.150150150150148,3.0469999999999997,-0.086102,0.0449769648472948,0.044,2025-04-13
ALZN,-3.8545454545454545,10.6,-0.220859,0.04566728763537557,0.044,2025-04-13
AMAL,0.32370637785800255,0.10760000000000003,-0.060068,0.06663042762157999,0.044,2025-04-13
AMAT,0.17507452751005753,0.3024499999999999,0.110299,0.05905785662782366,0.044,2025-04-13
AMCR,1.4725546434576202,0.14889,0.017101,0.07980501357108924,0.044,2025-04-13
AMD,0.2417582417582416,0.21999999999999986,-0.094189,0.04714644736148584,0.044,2025-04-13
AMG,0.13976207881969838,0.8412000000000006,0.048443,0.03758009414288722,0.044,2025-04-13
AMGN,0.14831680930846108,0.5644300000000002,0.046669,0.04137084463988315,0.044,2025-04-13
AMIX,-inf,2.47,-0.236897,0.09705804393715435,0.044,2025-04-13
AMKR,0.0526315789473683,0.00899999999999998,-0.009264,0.7193436079120707,0.044,2025-04-13
AMLX,-0.507042253521127,0.3600000000000001,0.070568,0.09864670586392196,0.044,2025-04-13
AMPG,-0.3333333333333334,0.04000000000000001,-0.111359,0.49410535652757415,0.044,2025-04-13
AMRK,3.1215277777777772,4.494999999999999,0.156608,0.06022585570396521,0.044,2025-04-13
AMS,-1.1428571428571428,0.08,-0.032154,0.2917712705934632,0.044,2025-04-13
AMSC,1.529380624669137,0.08667,0.358974,0.07121784222245693,0.044,2025-04-13
AMTM,0.8799999999999999,0.21999999999999997,-0.095458,0.053365602693978595,0.044,2025-04-13
AMWD,-0.5263870094722598,0.778,-0.123632,0.03892432934074254,0.044,2025-04-13
AMWL,-2.23943661971831,12.719999999999999,-0.180441,0.05650146942021731,0.044,2025-04-13
AMZN,6.052862229526157,0.44198000000000004,-0.036569,0.029585871202705297,0.044,2025-04-13
ANAB,-1.4391999564686768,3.70286,0.060658,0.0754779715163133,0.044,2025-04-13
ANDE,1.447090624264081,1.4133300000000002,0.117583,0.03519554785293099,0.044,2025-04-13
ANEB,0.6168582375478927,0.0805,0.480769,0.09006906811742356,0.044,2025-04-13
ANF,-1.3700608723841083,1.90185,-0.111111,0.06617666361581505,0.044,2025-04-13
ANGO,-3.0,0.0225,-0.270249,0.1572933553578282,0.044,2025-04-13
ANIK,-15.3293206243117,4.03667,-0.015122,0.19325991480381535,0.044,2025-04-13
ANNX,0.4069767441860465,0.35,0.104121,0.043869397792336166,0.044,2025-04-13
ANRO,-3.6415770609319,6.096,0.061074,0.14732241101971513,0.044,2025-04-13
ANSS,0.49684096934957045,0.8563700000000001,0.065823,0.05049720741776501,0.044,2025-04-13
ANTX,-0.16312243509557356,0.07433000000000001,0.646559,0.12852917274567408,0.044,2025-04-13
ANVS,-0.717133001149866,0.9355000000000002,0.009839,0.12067498839090336,0.044,2025-04-13
ANY,1.3846153846153846,0.36,-0.044661,0.29301195134400115,0.044,2025-04-13
AOMR,-8.978808285194523,2.81333,-0.084564,0.09502398886923537,0.044,2025-04-13
AOUT,2.111111111111111,0.5225,0.1258,0.0332879054671816,0.044,2025-04-13
AP,13.0,0.26,0.355932,0.14320513486563624,0.044,2025-04-13
APA,0.6111626237549727,0.20433,0.223055,0.07961339855496229,0.044,2025-04-13
APAM,0.16448803529546832,0.10028999999999999,0.041402,0.08657478708943894,0.044,2025-04-13
APD,-0.061501597444089486,0.18480000000000008,-0.155518,0.032983236003680354,0.044,2025-04-13
APEI,-8.560975609756097,2.6325,0.124767,0.06247096815858576,0.044,2025-04-13
APGE,-1.2209165687426558,2.078,0.077158,0.0680253988729667,0.044,2025-04-13
APLE,-0.30123617436564726,0.041669999999999985,0.120818,0.08555113785186222,0.044,2025-04-13
APLT,-1.4363749224084421,0.9256000000000001,-0.29788,0.09306045821616968,0.044,2025-04-13
APOG,1.4349566377585055,0.43019999999999997,0.133623,0.04719049095617811,0.044,2025-04-13
APPF,21.088698140200286,3.68525,-0.101117,0.08396723679434859,0.044,2025-04-13
APT,0.5862068965517241,3.71875,0.060215,0.060019029776340355,0.044,2025-04-13
APVO,5.195488721804511,11249.48,-0.108295,0.043256416481046604,0.044,2025-04-13
AQB,-0.9037240781708492,1.3766699999999998,-0.087033,0.06114436200567781,0.044,2025-04-13
AQMS,-0.3333333333333333,1.0,-0.328108,0.12745277134839486,0.044,2025-04-13
AQN,-0.3360294561477637,0.05567000000000001,-0.192007,0.10079784023605955,0.044,2025-04-13
AQST,-0.23076923076923067,0.08999999999999997,-0.346939,0.1128997887370075,0.044,2025-04-13
ARBE,-14.882352941176471,1.2650000000000001,0.085938,0.08738002218779971,0.044,2025-04-13
ARDS,-2.7792453197748044,1.42667,-0.074194,0.08271849004414257,0.044,2025-04-13
ARDT,-0.4316282179872951,0.12909999999999996,-0.008168,0.6255061916442681,0.044,2025-04-13
ARDX,61.0,0.061,0.321799,0.06758732258141331,0.044,2025-04-13
AREC,-0.28571428571428553,0.01999999999999999,0.036789,0.4910777453229594,0.044,2025-04-13
ARHS,1.3578947368421055,0.16125000000000003,0.239062,0.06350228818671358,0.044,2025-04-13
ARKO,-0.4042553191489361,0.04749999999999999,-0.008824,0.6256489292483737,0.044,2025-04-13
ARLP,-0.5087719298245613,0.2899999999999999,0.14864,0.03714538933286098,0.044,2025-04-13
ARMK,0.2985942660081246,0.10216999999999998,0.049946,0.0649409079776455,0.044,2025-04-13
AROW,0.39351711602544687,0.12990000000000002,0.095657,0.043123620791402424,0.044,2025-04-13
ARQT,0.5616438356164384,0.41,0.017522,0.7959749647195715,0.044,2025-04-13
ARRY,1.6127077658569124,0.29011,0.240492,0.08084784319736228,0.044,2025-04-13
ARTL,0.4444444444444445,2.4000000000000004,0.151416,0.06681236434814009,0.044,2025-04-13
ARTV,-4.002842524161455,17.6025,0.077,0.04957516544850657,0.044,2025-04-13
ARVN,-1.4082448079077887,3.24254,-0.053851,0.05190171505948775,0.044,2025-04-13
ARW,0.20809898762654663,0.9249999999999998,0.038935,0.018776188085099642,0.044,2025-04-13
ARWR,1.7021266636501227,1.09091,0.136235,0.059699149538493604,0.044,2025-04-13
ASAN,0.7042732515155995,0.04762999999999999,0.435317,0.09916517943787904,0.044,2025-04-13
ASGN,0.2786058460700629,0.23533000000000004,0.141873,0.0496821988063583,0.044,2025-04-13
ASH,1.3143386134540218,0.25556,0.159094,0.03705723609483398,0.044,2025-04-13
ASIX,0.9054182798532422,0.44666999999999996,0.141551,0.04185221222409493,0.044,2025-04-13
ASML,0.27649006622516553,0.835,0.062486,0.016705047213208445,0.044,2025-04-13
ASPI,-0.3333333333333333,0.03,-0.235294,0.05980213404707787,0.044,2025-04-13
ASPS,-1.6000000000000003,0.56,0.232479,0.07434683527902082,0.044,2025-04-13
ASPU,0.07692307692307698,0.0050000000000000044,-0.03125,0.6521478661305289,0.044,2025-04-13
ASTE,-1.0160771704180065,0.632,-0.222028,0.05507199682355001,0.044,2025-04-13
ASUR,-0.03761139219032214,0.18844999999999956,-0.121714,0.044624319044803816,0.044,2025-04-13
ASYS,-20.249999999999996,0.8099999999999999,-0.315526,0.08115975110850927,0.044,2025-04-13
ATAT,0.16697005917209745,0.39532999999999996,-0.035494,0.08506031172194291,0.044,2025-04-13
ATHA,-3.4800000000000004,0.8700000000000001,0.129582,0.060876909499293114,0.044,2025-04-13
ATKR,0.4367586298813807,1.6384999999999996,0.129451,0.035734226279563,0.044,2025-04-13
ATLX,-3.1923076923076925,0.8300000000000001,-0.255271,0.04682731402931155,0.044,2025-04-13
ATMU,0.280917931046925,0.15571000000000002,0.036352,0.07337944418501743,0.044,2025-04-13
ATNF,1.6923076923076923,83.6,-0.07874,0.03341937390419511,0.044,2025-04-13
ATNI,-23.857142857142858,1.6700000000000002,0.004662,0.07536551633687082,0.044,2025-04-13
ATNM,-1.6534653465346534,0.835,-0.016611,0.09777306318489574,0.044,2025-04-13
ATOM,-0.06666666666666674,0.010000000000000009,-0.051724,0.39325259481213587,0.044,2025-04-13
ATOS,-2.259259259259259,0.61,-0.096234,0.0664947278937293,0.044,2025-04-13
ATR,0.19402985074626866,0.13,0.008414,0.17352623967707143,0.044,2025-04-13
ATRA,0.6652267818574514,15.399999999999999,0.292011,0.07597972183222595,0.044,2025-04-13
ATRO,-4.6521739130434785,0.535,0.101567,0.04170138965077568,0.044,2025-04-13
ATUS,-3.0911345620775177,0.63563,-0.117271,0.026713204398597357,0.044,2025-04-13
ATXI,0.5428571428571428,106.875,0.035069,0.06807806787225636,0.044,2025-04-13
AUDC,-0.2651190939350711,0.061329999999999996,0.021,0.7975317772241537,0.044,2025-04-13
AUNA,-0.7909407665505226,0.45399999999999996,0.031957,0.20587604939324772,0.044,2025-04-13
AUPH,-2.656307129798903,0.56667,-0.090071,0.08748855065464615,0.044,2025-04-13
AUST,-2.54,0.127,0.168623,0.06077882534726135,0.044,2025-04-13
AUTL,0.13987031890962018,0.08455999999999997,0.35471,0.08000391156339678,0.044,2025-04-13
AUUD,0.6875,2.75,-0.083575,0.051477766770603506,0.044,2025-04-13
AVAV,2.8216073680590052,0.7383299999999999,0.207367,0.05349198656935973,0.044,2025-04-13
AVBP,0.3905058801195009,0.3908300000000001,-0.118644,0.04357173260326222,0.044,2025-04-13
AVD,-8.68421052631579,0.8250000000000001,0.040636,0.10170505478969841,0.044,2025-04-13
AVDX,0.13404400090723534,0.0059100000000000055,-0.29717,0.07145237579106986,0.044,2025-04-13
AVPT,-11.833333333333334,0.14200000000000002,-0.095548,0.04011829258901269,0.044,2025-04-13
AVT,0.41191922508619266,0.6272499999999999,0.120143,0.035886162721560616,0.044,2025-04-13
AVTE,-0.6216216216216215,0.1725,-0.112471,0.059156318717349686,0.044,2025-04-13
AVY,0.20480259240281953,0.44367,0.023332,0.03838613113660404,0.044,2025-04-13
AWI,0.21788772597526174,0.2862500000000001,0.070518,0.024821950221639053,0.044,2025-04-13
AWRE,2.5,0.2,-0.129032,0.03469236214296704,0.044,2025-04-13
AXL,3.303570092058977,0.8827799999999999,0.055965,0.06834747634436658,0.044,2025-04-13
AXP,0.6788281779318036,1.13217,0.037221,0.02199828488792822,0.044,2025-04-13
AXS,0.4130946773433819,0.6226699999999998,0.045747,0.024482307720280132,0.044,2025-04-13
AXTA,0.7891800097040271,0.26023999999999997,-0.029401,0.031994584427179444,0.044,2025-04-13
AXTI,0.3863775823276744,0.05667,0.692982,0.12781840161036945,0.044,2025-04-13
AYI,0.5911812470267876,0.72078,0.071756,0.47903710889478207,0.044,2025-04-13
AYTU,0.9591836734693877,47.0,0.078733,0.03718596819869974,0.044,2025-04-13
AZEK,0.1678345011678344,0.06035999999999997,-0.113439,0.09844865109441021,0.044,2025-04-13
AZO,0.31462410091229354,6.33736,0.003021,0.0762134844858571,0.044,2025-04-13
AZPN,0.7611694164925513,0.9508300000000003,-0.050684,0.045165484256450665,0.044,2025-04-13
BA,-17.280362279221244,7.26933,0.050742,0.026728833484101582,0.044,2025-04-13
BABA,0.27606089871044703,3.887599999999999,-0.082573,0.042962883994037596,0.044,2025-04-13
BAH,0.216921256454389,0.32264000000000004,0.092345,0.02657582258334223,0.044,2025-04-13
BAM,0.10139089936434001,0.03221999999999997,0.055386,0.04294967578710052,0.044,2025-04-13
BAND,0.6682764070594432,0.15222,0.517696,0.11833856886616362,0.044,2025-04-13
BANF,0.2831858407079647,0.32000000000000006,0.043046,0.026247209088199195,0.044,2025-04-13
BANX,0.2266666666666667,0.08500000000000002,0.009729,0.13638531434985696,0.044,2025-04-13
BAP,0.27045081268042365,4.0425499999999985,-0.006136,0.14618130770634283,0.044,2025-04-13
BARK,-0.273209549071618,0.025749999999999995,-0.219388,0.05395655743766478,0.044,2025-04-13
BAX,0.10092159622281745,0.08892,0.124913,0.12028774747486085,0.044,2025-04-13
BBCP,0.5945945945945946,0.044,0.172131,0.1942806586773789,0.044,2025-04-13
BBGI,-36.5,43.8,-0.104704,0.07004794765062111,0.044,2025-04-13
BBLG,-2.285714285714286,38.400000000000006,-0.131156,0.09766901559759504,0.044,2025-04-13
BBSI,0.410550920888244,0.10186999999999999,0.164243,0.05130086898016141,0.044,2025-04-13
BBU,1.125,1.89,0.065831,0.04476796852553835,0.044,2025-04-13
BC,0.5324307498648863,0.7782700000000002,0.034818,0.030731383242095442,0.044,2025-04-13
BCAB,-0.1229891930520513,0.08433000000000002,0.831025,0.15177088646538442,0.044,2025-04-13
BCAX,-2.4782608695652177,1.1400000000000001,-0.093483,0.04001843073482246,0.044,2025-04-13
BCH,-0.9948571134692198,0.58033,0.023529,0.04282564253815176,0.044,2025-04-13
BCML,-0.4177215189873418,0.165,0.094982,0.11235467572006998,0.044,2025-04-13
BCRX,0.9220789340398177,0.23667000000000002,-0.220077,0.07223312123548795,0.044,2025-04-13
BCS,2.4615384615384617,0.32,0.120482,0.051957067843919943,0.044,2025-04-13
BCSF,0.5035460992907803,0.17750000000000005,0.037795,0.07605812729325932,0.044,2025-04-13
BCYC,-6.7272727272727275,0.74,0.001418,0.42643241404070714,0.044,2025-04-13
BDSX,-0.4302159277217707,0.12333,-0.263211,0.053062241242390694,0.044,2025-04-13
BDTX,-2.37956204379562,3.26,0.053505,0.3691978165355059,0.044,2025-04-13
BDX,0.4622702146805501,1.4383999999999997,-0.000824,0.07695435077690853,0.044,2025-04-13
BEAM,-7.541455678061643,3.9466699999999997,-0.104444,0.0505065176330807,0.044,2025-04-13
BECN,0.27295431884843624,0.5639400000000001,0.000533,0.10875953887154326,0.044,2025-04-13
BEDU,-2.3260869565217392,4.28,-0.134969,0.038026098650842395,0.044,2025-04-13
BEKE,1.0929152148664343,0.4705,0.643488,0.1328489564029463,0.044,2025-04-13
BENF,0.996124031007752,2.5700000000000003,-0.208333,0.0668667237096341,0.044,2025-04-13
BEPC,-1.272727272727273,0.14,0.024065,0.10153266241008095,0.044,2025-04-13
BERY,0.3077055935256237,0.3741300000000001,0.003873,0.08645832806974794,0.044,2025-04-13
BFIN,-0.058823529411764754,0.010000000000000009,0.108853,0.06598228114616633,0.044,2025-04-13
BFRI,0.8529411764705882,5.8,-0.135338,0.055373997967884496,0.044,2025-04-13
BFS,0.11627906976744183,0.04999999999999999,-0.01914,0.14249501155278912,0.044,2025-04-13
BFST,0.3548299688389107,0.18333,0.231628,0.04379167524427247,0.044,2025-04-13
BGFV,0.9199999999999999,0.45999999999999996,0.311484,0.06340718152023748,0.044,2025-04-13
BGS,0.8411967779056387,0.18275000000000002,0.284925,0.08163150708856506,0.044,2025-04-13
BGSF,-0.1692307692307692,0.05499999999999999,-0.344583,0.1325958515957245,0.044,2025-04-13
BHIL,0.8956521220631662,6.00833,0.382114,0.07609853674261832,0.044,2025-04-13
BHRB,0.040000000000000036,0.07000000000000006,0.046815,0.024132692177980353,0.044,2025-04-13
BIAF,-0.11764705882352934,0.01999999999999999,0.034884,0.0842637526578175,0.044,2025-04-13
BIDU,0.4971700910294131,6.757690000000002,-0.039347,0.07791516229022884,0.044,2025-04-13
BIGC,0.29175126304358096,0.06179000000000001,-0.301132,0.08393804934171459,0.044,2025-04-13
BILI,0.22593902621046824,0.6509100000000001,0.118226,0.049933628585377594,0.044,2025-04-13
